px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	6.92932e-310
0.0272407	-0.0272407	0	0	0	0	0	0	0	0	0	1.76399
1.53435	-0.118593	1.25485	1.71858e-33	1.71858e-33	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.8075
1.61563	0.0206089	1.64862	-0.0554718	-0.031319	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	3.8024
3.8731	-0.130181	1.97982	-0.126592	-0.0785415	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.4927
3.94703	0.07166	2.44436	0.197814	0.266823	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.85187
6.84832	0.417363	2.68313	-0.0827585	-0.0795255	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.12989
6.76613	0.443301	2.7964	0.0503464	0.0182419	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.66829
9.07063	0.59253	2.89317	0.0866547	0.0252391	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.146459
9.03546	0.662229	2.78342	0.138925	0.0576579	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.23462
11.5622	1.65939	2.94176	0.549892	0.276582	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.452097
11.5376	1.62389	2.90702	0.542312	0.285869	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.51478
13.6066	2.33121	2.55702	0.367405	-0.00412353	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.642332
13.6205	2.29725	2.64604	0.32439	-0.0652043	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.689235
16.5981	2.8973	3.02777	-0.0216523	-0.245383	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	2.08791
16.5368	2.88602	2.97586	-0.0194821	-0.251359	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.928588
19.0073	3.69521	2.89534	0.416575	0.185599	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.576955
19.0763	3.7197	2.82123	0.471416	0.252362	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.40924
21.3205	4.73173	2.86295	0.424412	0.0582605	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.178887
21.3802	4.74133	2.9614	0.389499	0.0135441	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.834633
24.0577	5.56621	3.11581	0.181404	-0.128743	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.456539
24.1642	5.60091	3.22881	0.172656	-0.130487	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.04101
26.6056	6.95238	3.21212	0.652413	0.258981	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.421652
26.5934	6.94299	3.29799	0.602843	0.177232	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.113398
29.5579	8.08039	3.39976	0.233107	-0.180912	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.906887
29.5447	8.07668	3.27522	0.225236	-0.194978	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.175806
31.9435	9.86844	3.26449	0.84694	0.332855	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.779494
31.8997	9.84312	3.30974	0.795062	0.254352	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.693478
34.6228	10.7313	2.69604	0.23276	-0.273433	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.8924
34.721	10.7789	2.97643	0.241582	-0.237491	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.70761
37.1362	12.0777	3.01457	0.615036	0.159165	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.481581
37.2155	12.0974	3.20082	0.559213	0.0570671	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.6944
40.2874	13.4513	3.52042	0.23966	-0.190793	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	1.58695
40.2252	13.4287	3.28924	0.222321	-0.233306	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.21637
42.7655	14.8203	3.27222	0.606393	0.165034	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.453946
