Kp:	0.2	Ki:	0	Kd:	0.4
cte	steer_value
0.76	-0.456	0
0.76	-0.152	0
0.7597	-0.15182	0.123
0.7594	-0.15176	0.2401
0.759	-0.15164	0.3262
0.7587	-0.15162	0.4572
0.7581	-0.15138	0.5482
0.7573	-0.15114	0.662
0.7567	-0.1511	0.7743
0.7557	-0.15074	0.8877
0.7545	-0.15042	0.9729
0.7537	-0.15042	1.0226
0.7522	-0.14984	1.1737
0.7506	-0.14948	1.2794
0.7488	-0.14904	1.392
0.7476	-0.14904	1.4752
0.7455	-0.14826	1.5573
0.7432	-0.14772	1.7104
0.7407	-0.14714	1.809
0.739	-0.14712	1.8679
0.7362	-0.14612	1.9791
0.7332	-0.14544	2.1102
0.73	-0.14472	2.1882
0.7278	-0.14468	2.2706
0.7243	-0.14346	2.3881
0.7218	-0.14336	2.4595
0.7179	-0.14202	2.5769
0.7137	-0.14106	2.6853
0.7092	-0.14004	2.7977
0.7046	-0.13908	2.8957
0.6996	-0.13792	3.0099
0.6943	-0.13674	3.1313
0.6887	-0.1355	3.2458
0.6828	-0.1342	3.3417
0.6787	-0.1341	3.4107
0.6723	-0.1319	3.5157
0.6656	-0.13044	3.6159
0.6585	-0.12886	3.7207
0.6511	-0.12726	3.8197
0.646	-0.12716	3.8864
0.638	-0.1244	3.9922
0.6297	-0.12262	4.0862
0.621	-0.12072	4.1866
0.615	-0.1206	4.2519
0.6057	-0.11742	4.3496
0.596	-0.11532	4.4466
0.5859	-0.11314	4.5431
0.5755	-0.11094	4.639
0.5646	-0.10856	4.7344
0.5534	-0.1062	4.8291
0.5457	-0.10606	4.8919
0.5339	-0.10206	4.9857
0.522	-0.09964	5.0789
0.5148	-0.10008	5.1407
0.5052	-0.0972	5.233
0.4981	-0.09678	5.3247
0.4953	-0.09794	5.4158
0.4814	-0.09072	5.5063
0.473	-0.09124	5.5663
0.4617	-0.08782	5.656
0.4518	-0.0864	5.745
0.4429	-0.08502	5.8336
0.4373	-0.08522	5.8923
0.4292	-0.0826	5.9799
0.4213	-0.0811	6.0669
0.4135	-0.07958	6.1534
0.4081	-0.07946	6.2108
0.3997	-0.07658	6.2965
0.3909	-0.07466	6.3815
0.3849	-0.07458	6.438
0.3757	-0.07146	6.5222
0.3661	-0.06938	6.6059
0.3562	-0.06728	6.6891
0.3494	-0.06716	6.7443
0.3355	-0.06154	6.854
0.3283	-0.06278	6.9084
0.3174	-0.05912	6.9898
0.3061	-0.0567	7.0706
0.2984	-0.0566	7.1242
0.2906	-0.055	7.1775
0.2787	-0.05098	7.2572
0.2624	-0.04596	7.3626
0.2541	-0.0475	7.415
0.2415	-0.04326	7.4932
0.2287	-0.04062	7.5708
0.2157	-0.03794	7.6481
0.2069	-0.03786	7.6993
0.1936	-0.0334	7.7757
