Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
0.76	-0.6897	0
0.76	-0.2394	0
0.759	-0.244193	0.2999
0.758	-0.249578	0.5586
0.7571	-0.255046	0.7787
0.7553	-0.25963	1.0863
0.7517	-0.263108	1.504
0.7484	-0.267911	1.7074
0.7457	-0.273054	1.9401
0.7411	-0.276092	2.2209
0.7356	-0.279419	2.5353
0.7292	-0.282428	2.8222
0.7218	-0.285022	3.123
0.7162	-0.289793	3.3075
0.7036	-0.28709	3.6901
0.6926	-0.289945	3.9763
0.6846	-0.294479	4.1622
0.6714	-0.292435	4.4398
0.6618	-0.296678	4.6248
0.6461	-0.293154	4.9012
0.6286	-0.291539	5.1758
0.616	-0.295318	5.3582
0.5956	-0.288986	5.6305
0.5733	-0.285455	5.9008
0.5572	-0.288524	6.0804
0.5224	-0.270782	6.4373
0.5035	-0.278428	6.6145
0.4734	-0.266229	6.8798
0.4409	-0.258346	7.1425
0.406	-0.249481	7.4044
0.3814	-0.251141	7.5781
0.3425	-0.23346	7.8375
0.301	-0.221707	8.0948
0.2724	-0.22291	8.266
0.2319	-0.20536	8.5214
0.2031	-0.205263	8.7747
0.1845	-0.207187	8.9431
0.1282	-0.168638	9.194
0.0928	-0.171254	9.3602
0.0431	-0.148088	9.6093
-0.0049	-0.134671	9.8562
-0.0508	-0.12178	10.1019
-0.0986	-0.10556	10.346
-0.1482	-0.0884888	10.5884
-0.1993	-0.070764	10.8294
-0.2518	-0.0522855	11.0687
-0.3054	-0.033255	11.3435
-0.3593	-0.0142103	11.1724
-0.3959	-0.010641	11.8657
-0.45	0.019464	11.6575
-0.4866	0.0235935	12.064
-0.5409	0.0545603	12.4013
-0.5946	0.0747697	12.5173
-0.6473	0.0948345	12.8317
-0.6817	0.0992872	12.9904
-0.7308	0.128318	13.0628
-0.7782	0.147355	13.2543
-0.8082	0.151976	13.4376
-0.8499	0.17788	13.6248
-0.8883	0.194083	14.0206
-0.9222	0.208469	13.9759
-0.9512	0.221363	14.4572
-0.9675	0.225889	14.5906
-0.9869	0.240971	14.5827
-1.0003	0.248893	14.9568
-1.0055	0.253075	15.0619
-1.0074	0.25922	15.1259
-1.002	0.260735	15.5552
-0.9942	0.264412	15.6455
-0.9759	0.259941	15.6978
-0.9494	0.254192	16.1059
-0.9149	0.245903	16.1591
-0.8722	0.234715	16.4525
-0.8391	0.236838	16.6337
-0.7833	0.212353	16.6931
-0.719	0.193355	17.0258
-0.6471	0.172078	17.1498
-0.5679	0.148198	17.4048
-0.4822	0.122204	17.5232
-0.3902	0.0937507	17.8188
-0.2932	0.0638498	17.9768
-0.1916	0.0320467	18.188
-0.1219	0.031191	18.3299
-0.0158	-0.0223605	18.501
0.0927	-0.0570458	18.6995
0.1655	-0.058707	18.8311
0.2735	-0.114278	19.0037
0.3805	-0.148632	19.1989
0.4503	-0.150629	19.3208
0.5506	-0.203149	19.4939
0.6459	-0.233583	19.6769
0.7341	-0.261289	19.8488
0.7879	-0.262698	19.9668
0.8599	-0.301667	20.1319
0.9244	-0.32345	20.3191
0.9645	-0.328074	20.4325
1.0184	-0.360162	20.5802
1.0647	-0.377477	20.7776
1.1013	-0.390897	20.907
1.1169	-0.391354	21.0128
1.125	-0.397721	21.2323
1.1149	-0.392133	21.3306
1.0857	-0.380056	21.5815
1.0375	-0.361977	21.6536
0.9949	-0.360019	21.7651
0.9155	-0.320985	22.0511
0.8182	-0.287192	22.0988
0.7034	-0.247527	22.3953
0.6181	-0.244273	22.5107
0.4791	-0.173946	22.5721
0.3789	-0.170008	22.6878
