Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
0.76	-3.4485	0
0.76	1.65187	0
0.7587	0.00310004	0.2829
0.7621	-0.159484	0.6446
0.7625	-0.14963	0.8256
0.761	-0.151068	1.1853
0.7599	-0.160535	1.4377
0.7581	-0.159469	1.6628
0.7557	-0.160861	1.9958
0.7528	-0.162522	2.3036
0.7507	-0.169734	2.472
0.747	-0.163103	2.7543
0.7427	-0.166119	3.0603
0.7379	-0.167536	3.349
0.7324	-0.167537	3.6379
0.7262	-0.167826	3.9201
0.7194	-0.168448	4.2029
0.7143	-0.179133	4.3888
0.7061	-0.162877	4.6669
0.7	-0.180512	4.8512
0.6903	-0.161244	5.127
0.6794	-0.164703	5.4005
0.6716	-0.182752	5.5825
0.6592	-0.15586	5.8538
0.6453	-0.159476	6.1228
0.6304	-0.159109	6.3912
0.6199	-0.181328	6.5689
0.6031	-0.142872	6.8342
0.591	-0.177339	7.0094
0.5719	-0.135515	7.2724
0.551	-0.141609	7.5323
0.529	-0.140257	7.7922
0.5137	-0.171511	7.9643
0.4899	-0.116341	8.221
0.4674	-0.138387	8.4747
0.4557	-0.183327	8.6444
0.4372	-0.126254	8.8968
0.4196	-0.142444	9.0624
0.3937	-0.10202	9.3129
0.3703	-0.129478	9.5611
0.3557	-0.162025	9.7261
0.3338	-0.106263	9.9717
0.3097	-0.108906	10.2143
0.2844	-0.106515	10.4576
0.2579	-0.10069	10.6992
0.2301	-0.0938278	10.9391
0.2107	-0.130843	11.0982
0.1804	-0.0588624	11.3727
0.1588	-0.117441	11.6477
0.1267	-0.0476638	11.6629
0.1042	-0.108917	11.8315
0.0699	-0.0306627	12.1497
0.046	-0.0978111	12.1733
0.0221	-0.0709579	12.3388
-0.0158	-0.0011176	12.4928
-0.0422	-0.0790163	12.7481
-0.0679	-0.052483	12.7512
-0.1083	0.0230397	13.3398
-0.1359	-0.0614421	13.423
-0.176	0.0285206	13.412
-0.2032	-0.0490551	13.6046
-0.23	-0.0166252	13.5761
-0.2718	0.0606761	14.1894
-0.3002	-0.0263915	14.3603
-0.3273	0.00308202	14.4767
-0.3685	0.0788966	14.4094
-0.3963	-0.00561312	14.4179
-0.4354	0.0814685	15.0461
-0.4611	0.00537491	15.1724
-0.4858	0.0371913	15.3759
-0.5225	0.102977	15.2241
-0.559	0.0830027	15.7572
-0.592	0.074346	15.5899
-0.6122	0.0329111	15.6466
-0.6314	0.0654941	15.8745
-0.6599	0.118629	16.4202
-0.678	0.0577267	16.6141
-0.6942	0.0779476	16.6981
-0.7165	0.117691	16.4733
-0.73	0.0707764	16.7208
-0.7416	0.0871591	16.7545
-0.7568	0.114601	17.4145
-0.7653	0.0819118	17.5043
-0.7717	0.0920785	17.6726
-0.7786	0.104681	17.5038
-0.7813	0.0891851	17.5796
-0.7816	0.0916291	18.1833
-0.7796	0.0906757	18.2909
-0.7734	0.0801399	18.1268
-0.767	0.0913872	18.2845
-0.7544	0.0662419	18.8003
-0.7437	0.0900812	18.9301
-0.725	0.0512468	18.8045
-0.7102	0.0867719	18.929
-0.694	0.0725612	19.062
-0.666	0.0212176	19.5415
-0.6341	0.0288445	19.4431
-0.5882	-0.0268346	19.6955
-0.5639	0.0987329	19.8206
-0.5276	-0.00657804	20.2668
-0.4992	0.048776	20.3814
-0.4494	-0.0685646	20.3096
-0.4109	0.0242064	20.432
-0.3484	-0.113198	20.8477
-0.2793	-0.0987835	20.792
-0.2337	0.0158684	20.9064
-0.1898	-0.0382199	21.025
-0.1224	-0.16096	21.4142
-0.0546	-0.120209	21.3822
-0.0121	-0.0126661	21.4912
0.0471	-0.155952	21.8525
0.086	-0.0406348	21.9626
0.1397	-0.160745	21.9544
0.174	-0.0521415	22.0724
0.2201	-0.156235	22.3855
0.2488	-0.0625111	22.4927
0.2866	-0.149402	22.5326
0.3096	-0.0721946	22.6504
0.3389	-0.139863	22.9048
0.3638	-0.114587	22.9957
0.3774	-0.0788421	23.1077
0.393	-0.119453	23.3192
0.4043	-0.101912	23.4433
0.4089	-0.0851582	23.5522
0.4114	-0.0947227	23.7366
0.4094	-0.0826649	23.8777
0.4054	-0.0859199	23.9846
0.3956	-0.0660135	24.1527
0.3866	-0.0834572	24.2561
0.376	-0.0752034	24.3595
0.3563	-0.0370313	24.5102
0.3409	-0.0759783	24.6136
0.3157	-0.0214673	24.7691
0.287	-0.0244846	24.9199
0.2666	-0.0678894	25.0209
0.2456	-0.0434591	25.1217
0.2115	0.0191864	25.2717
0.1871	-0.0501315	25.3714
0.1512	0.0264196	25.5179
0.114	0.0130379	25.6649
0.0893	-0.0421962	25.7614
0.0533	0.0426215	25.9072
0.0309	-0.0367909	26.0037
0.0296	-0.0981777	26.146
0.0089	0.0424261	26.2414
-0.0102	-0.00255438	26.3789
-0.0133	-0.0711056	26.5171
-0.0143	-0.0420785	26.6115
-0.0178	-0.0224061	26.7499
-0.0235	-0.0169459	26.8897
-0.0278	-0.0277649	26.9827
-0.0346	-0.0126456	27.1214
-0.0394	-0.0259807	27.2134
-0.0467	-0.00930566	27.3507
-0.0518	-0.0232912	27.4417
-0.0594	-0.00602948	27.5775
-0.0673	-0.00852687	27.7125
-0.075	-0.00884098	27.8466
-0.0799	-0.0194196	27.9356
-0.0846	-0.012433	28.0242
-0.0916	0.000236314	28.1564
-0.0984	-0.00435614	28.2879
-0.1045	-0.00583431	28.4184
-0.1081	-0.0139637	28.505
-0.1112	-0.00908537	28.5912
-0.1155	-0.000951726	28.72
-0.1181	-0.0101164	28.8054
-0.1202	-0.00764351	28.8903
-0.1227	-0.00348152	29.0172
-0.124	-0.00881435	29.1014
-0.1248	-0.00759667	29.1851
-0.1252	-0.00737964	29.3102
-0.1248	-0.0094009	29.4345
-0.124	-0.00884259	29.5169
-0.1139	-0.049619	29.6399
-0.087	-0.105235	29.7621
-0.0472	-0.126973	29.8826
-0.0214	-0.0368958	29.9591
0.0115	-0.104309	30.0723
0.0311	-0.0359529	30.1519
0.0483	-0.0592304	30.2294
0.0714	-0.097631	30.348
0.085	-0.0458944	30.4266
0.1005	-0.0788282	30.5417
0.1081	-0.04357	30.6197
0.1135	-0.0539215	30.6967
0.1184	-0.0598333	30.8126
0.1195	-0.0457044	30.8894
0.1157	-0.0332685	31.0417
0.1112	-0.0421546	31.1175
0.1018	-0.0221519	31.2307
0.0893	-0.0184979	31.3431
0.0744	-0.0138716	31.4548
0.0636	-0.0362804	31.5289
0.0463	0.00421816	31.6393
0.0339	-0.0295298	31.7125
0.015	0.0126002	31.8214
-0.0046	0.00478427	31.9299
-0.0175	-0.024716	32.0015
-0.0362	0.0197553	32.1087
-0.0548	0.0105499	32.2155
-0.0721	0.00761541	32.3209
-0.0815	-0.0216506	32.3911
-0.0851	-0.0269184	32.4961
-0.0632	-0.126331	32.6005
-0.0447	-0.053205	32.6696
-0.0211	-0.082695	32.7627
-0.0081	-0.0271847	32.8308
0.0077	-0.0664639	32.9315
0.0204	-0.0507875	33.0332
0.0268	-0.031656	33.1002
0.0334	-0.0493717	33.201
0.0369	-0.037486	33.3012
0.0375	-0.0325381	33.3675
0.0358	-0.0298313	33.4666
0.0332	-0.0316174	33.5324
0.0272	-0.0184474	33.6305
0.0157	-0.000716196	33.7604
0.0049	-0.0154616	33.857
-0.0027	-0.0274094	33.9209
-0.0145	0.000726948	34.0165
-0.023	-0.0212634	34.0799
-0.0357	0.00654868	34.1743
-0.0486	0.000643609	34.2683
-0.0569	-0.0188311	34.3304
-0.0722	0.0255161	34.4542
-0.0892	0.0207268	34.607
-0.0959	-0.0277489	34.6974
-0.0984	-0.021218	34.7577
-0.1004	-0.0107306	34.8178
-0.0984	-0.0259615	34.9077
-0.0868	-0.0598849	34.9674
-0.0216	-0.281457	35.0565
0.0499	-0.19354	35.1436
0.0906	-0.042102	35.1605
0.1387	-0.15461	35.231
0.1654	-0.0554844	35.2887
0.187	-0.0877606	35.3427
0.2122	-0.125068	35.4299
0.2241	-0.0631188	35.4874
0.231	-0.07444	35.5426
0.2338	-0.0723926	35.6287
0.2308	-0.0583733	35.6856
0.2191	-0.033818	35.7704
0.2067	-0.0510347	35.8268
0.1915	-0.0401891	35.883
0.1632	0.0145172	35.9666
0.141	-0.0399671	36.0221
0.1175	-0.0185163	36.0761
0.0789	0.0519313	36.1581
0.0511	-0.0259417	36.2127
0.0236	0.000425565	36.2639
-0.0187	0.0752989	36.3445
-0.0475	-0.0126605	36.3982
-0.0871	0.0711162	36.4721
-0.1167	0.0104297	36.5514
-0.1227	-0.0688028	36.6013
-0.1205	-0.0467396	36.6801
-0.1182	-0.0230113	36.7546
-0.1176	-0.0130735	36.8059
-0.1169	-0.0170436	36.8835
-0.1163	-0.0163635	36.935
-0.1152	-0.0185537	37.012
-0.1144	-0.015806	37.063
-0.1134	-0.0170517	37.1138
-0.1113	-0.0213851	37.2148
-0.1101	-0.0146448	37.265
-0.1089	-0.0163749	37.315
-0.107	-0.0195285	37.3896
-0.1049	-0.0187521	37.4637
-0.1035	-0.014974	37.5128
-0.1021	-0.0164601	37.5618
-0.0998	-0.0205597	37.6348
-0.0983	-0.0148734	37.6833
-0.0959	-0.0205945	37.7556
-0.0927	-0.0223323	37.8274
-0.0752	-0.085423	37.8751
0.0193	-0.403834	37.9462
0.0986	-0.167828	38.0132
0.1568	-0.108362	37.9603
