Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
0.76	-3.4485	0
0.76	1.65187	0
0.7584	0.00446129	0.3624
0.7598	-0.151061	0.4616
0.7599	-0.152614	0.87
0.7593	-0.155741	1.0589
0.7577	-0.155876	1.4504
0.7563	-0.161847	1.6878
0.7539	-0.159613	1.9963
0.752	-0.166598	2.2791
0.7485	-0.160805	2.6365
0.7444	-0.16393	2.968
0.7397	-0.164943	3.338
0.7362	-0.173829	3.5639
0.7303	-0.16232	3.8981
0.7258	-0.175747	4.1264
0.7185	-0.16204	4.4649
0.7101	-0.164747	4.8002
0.704	-0.179375	5.0232
0.6975	-0.173849	5.2451
0.6866	-0.155783	5.5759
0.6745	-0.161297	5.9052
0.6658	-0.180649	6.124
0.652	-0.1506	6.45
0.6418	-0.178191	6.6656
0.6256	-0.143844	6.9888
0.6075	-0.148067	7.3086
0.5948	-0.177013	7.5217
0.5747	-0.130921	7.8394
0.5523	-0.135321	8.1537
0.5366	-0.170326	8.3634
0.512	-0.113658	8.676
0.4943	-0.162017	8.882
0.4691	-0.111755	9.1917
0.4547	-0.174269	9.3956
0.4438	-0.164899	9.7021
0.4084	-0.0430426	10.0035
0.3892	-0.168505	10.2046
0.3656	-0.112675	10.5038
0.3423	-0.118566	10.7984
0.3182	-0.111698	11.096
0.3012	-0.142404	11.3367
0.2746	-0.0800777	11.2006
0.2551	-0.129619	11.7914
0.2253	-0.0650667	12.219
0.2045	-0.124224	12.3069
0.1724	-0.050344	12.3363
0.1495	-0.111783	12.5702
0.1148	-0.0347191	13.0779
0.0778	-0.0444236	13.23
0.0524	-0.0979071	13.3572
0.0141	-0.00788823	13.7657
-0.0269	-0.0167339	14.0178
-0.0545	-0.0783431	14.092
-0.0958	0.0202965	14.6356
-0.139	0.00725265	14.6121
-0.1677	-0.0567413	14.6431
-0.1961	-0.018243	14.9656
-0.2405	0.0639851	15.4908
-0.2859	0.0402851	15.5394
-0.329	0.0341172	16.0156
-0.37	0.0390325	16.1017
-0.3968	-0.010818	16.267
-0.4361	0.0865597	16.692
-0.476	0.0716041	16.8404
-0.5014	0.0115772	16.9904
-0.5368	0.097708	17.3598
-0.5716	0.0828591	17.537
-0.5933	0.0318986	17.6935
-0.6227	0.104191	18.0095
-0.6507	0.0900874	18.2239
-0.6674	0.0486161	18.3868
-0.689	0.103457	18.6617
-0.7082	0.0898742	18.8942
-0.7233	0.0824964	19.1537
-0.7309	0.064166	19.3186
-0.739	0.0892123	19.5506
-0.7425	0.0729964	19.7142
-0.7442	0.0792003	19.9705
-0.743	0.0743148	20.1328
-0.7399	0.0755414	20.2938
-0.7318	0.0601354	20.5165
-0.7193	0.0536289	20.7749
-0.7088	0.0744443	20.9347
-0.6901	0.0340966	21.1451
-0.6752	0.0694685	21.3001
-0.6501	0.0154497	21.5667
-0.621	0.0184972	21.7611
-0.5999	0.0629852	21.9131
-0.5663	-0.0135103	22.185
-0.5417	0.0511687	22.3354
-0.5135	0.0131761	22.4855
-0.4623	-0.0876692	22.6717
-0.4199	-0.000729589	22.8228
-0.3528	-0.135629	23.0688
-0.305	-0.00237189	23.2139
-0.2372	-0.142094	23.4033
-0.1701	-0.106956	23.6358
-0.107	-0.0989991	23.8335
-0.049	-0.0967899	24.0556
-0.0127	-0.0220332	24.1979
0.0383	-0.148038	24.408
0.0878	-0.12059	24.6223
0.1181	-0.0442785	24.7577
0.1582	-0.14051	24.9652
0.195	-0.114304	25.1752
0.226	-0.101945	25.3779
0.2428	-0.0585101	25.5152
0.2632	-0.113749	25.721
0.2794	-0.0938966	25.9262
0.2872	-0.0693955	26.0607
0.2941	-0.0885426	26.263
0.2959	-0.0716464	26.3976
0.2943	-0.0700615	26.5979
0.2905	-0.0699454	26.7311
0.2809	-0.0499467	26.9297
0.272	-0.0665693	27.0614
0.2555	-0.0309185	27.2581
0.2349	-0.0280843	27.4531
0.2195	-0.059817	27.5826
0.1945	-0.00275125	27.7758
0.1762	-0.0509143	27.9036
0.1477	0.0122694	28.0941
0.1171	0.00367811	28.2835
0.0963	-0.0422582	28.4086
0.0757	-0.0169225	28.5337
0.0433	0.0425931	28.7205
0.021	-0.0249735	28.8446
0.0127	-0.0626913	29.0269
-0.0223	0.094919	29.2106
-0.0206	-0.125209	29.3314
-0.011	-0.0793571	29.5033
-0.0051	-0.0389246	29.6138
0	-0.043073	29.7909
0.002	-0.0324205	29.9106
0.0034	-0.0376272	30.0891
0.0034	-0.0335938	30.2076
0.0019	-0.0302826	30.3844
-0.0013	-0.0261277	30.5601
-0.0061	-0.0225934	30.7348
-0.0101	-0.0294307	30.8506
-0.0169	-0.0143717	31.0234
-0.0222	-0.0263212	31.1381
-0.0307	-0.00769014	31.3091
-0.0368	-0.0241747	31.4225
-0.0461	-0.00327335	31.5917
-0.0558	-0.00667343	31.7599
-0.0624	-0.0202171	31.8713
-0.0718	0.00119367	32.0377
-0.0813	-0.00233002	32.2032
-0.0874	-0.0163749	32.3127
-0.0956	0.00263425	32.4764
-0.1008	-0.0133739	32.585
-0.1076	0.002004	32.7468
-0.1135	-0.00361512	32.9079
-0.1167	-0.012451	33.0146
-0.1085	-0.056585	33.1739
-0.079	-0.126859	33.3323
-0.0518	-0.0690532	33.4363
-0.0157	-0.115546	33.5835
0.0053	-0.0328676	33.6867
0.031	-0.0922465	33.8374
0.0519	-0.0671441	33.9915
0.0671	-0.0561383	34.1429
0.0736	-0.034183	34.2445
0.0778	-0.0470408	34.3459
0.0805	-0.0485602	34.4972
0.0789	-0.0340107	34.6475
0.0727	-0.0236511	34.7967
0.0664	-0.0340442	34.8958
0.0543	-0.00797705	35.0435
0.0445	-0.0301434	35.1415
0.0283	0.00490754	35.2875
0.0101	0.00216289	35.4327
-0.0026	-0.025314	35.5287
-0.0216	0.0182363	35.6721
-0.0347	-0.0187222	35.7674
-0.0533	0.0216902	35.9088
-0.0714	0.0111954	36.0501
-0.0827	-0.0157418	36.1432
-0.0978	0.0200815	36.2829
-0.1056	-0.0174732	36.4219
-0.0977	-0.0701748	36.5137
-0.0788	-0.0826845	36.6055
-0.0454	-0.122575	36.7396
-0.0251	-0.0325961	36.8283
-0.0006	-0.0834306	36.9564
0.0191	-0.0586701	37.091
0.0293	-0.0301268	37.1794
0.0401	-0.0582781	37.3127
0.0467	-0.0419267	37.4455
0.0485	-0.0315649	37.5332
0.0473	-0.0306624	37.6646
0.0423	-0.0214722	37.7952
0.0369	-0.0285259	37.8818
0.0265	-0.00668819	38.011
0.0133	-0.0040829	38.1394
-0.0017	-0.00106358	38.2668
-0.0122	-0.0235049	38.3512
-0.0282	0.0137516	38.4773
-0.0448	0.00744713	38.6026
-0.0558	-0.0170526	38.6854
-0.071	0.0173711	38.8092
-0.0855	0.00848443	38.9325
-0.0944	-0.012913	39.0139
-0.1056	0.0129089	39.1358
-0.1122	-0.00978491	39.2167
-0.1149	-0.0152681	39.3372
-0.0758	-0.193891	39.4573
0.0009	-0.271864	39.5768
0.0503	-0.0653859	39.6351
0.1085	-0.171578	39.7005
0.1393	-0.0425602	39.7774
0.1725	-0.12339	39.8857
0.1875	-0.0473136	39.9632
0.1984	-0.0753267	40.0771
0.1988	-0.0437458	40.1546
0.194	-0.0469214	40.2315
0.1782	-0.0112643	40.3466
0.153	0.00649899	40.4609
0.132	-0.0328234	40.5362
0.0967	0.0435034	40.6479
0.0563	0.0397994	40.7596
0.0143	0.0397442	40.8675
-0.0264	0.0367907	40.9759
-0.0519	-0.0216582	41.0481
-0.0872	0.064072	41.1565
-0.1173	0.0272974	41.2647
-0.1215	-0.073397	41.3691
-0.1122	-0.0711971	41.4405
-0.0981	-0.0572575	41.5424
-0.0862	-0.0351854	41.6455
-0.0798	-0.0161997	41.7152
-0.0716	-0.0386407	41.8204
-0.0645	-0.0317773	41.9251
-0.059	-0.0279729	42.0289
-0.0556	-0.0232517	42.1323
-0.0544	-0.0190076	42.2009
-0.0539	-0.0215001	42.3032
-0.0544	-0.0189765	42.3711
-0.0562	-0.0153203	42.4724
-0.0581	-0.0175996	42.5395
-0.0616	-0.0102663	42.6397
-0.0659	-0.00956846	42.7393
-0.0683	-0.0193319	42.8053
-0.0537	-0.0914384	42.9039
0.0474	-0.445906	43.0019
0.1299	-0.172801	43.0945
0.1729	-0.0367317	43.0561
0.2189	-0.154926	43.135
0.2504	-0.0994728	43.2308
0.2625	-0.0527812	43.2898
0.2666	-0.0685296	43.3849
0.2562	-0.0274614	43.4806
0.2417	-0.0440533	43.5438
0.2107	0.0199911	43.6381
0.1691	0.0330953	43.7317
0.1373	-0.0324712	43.7923
0.0869	0.0783444	43.8819
0.051	-0.0205002	43.9427
-0.0017	0.0932374	44.0269
-0.054	0.0642236	44.1169
-0.1018	0.0518621	44.1991
-0.1293	-0.0202781	44.257
-0.1641	0.0674969	44.3451
-0.1933	0.0360638	44.4333
-0.2088	-0.00764098	44.49
-0.2246	0.0308944	44.5774
-0.2317	-0.0026949	44.665
-0.2367	0.0107649	44.7226
-0.1449	-0.419948	44.7805
-0.0083	-0.410424	44.8668
0.1141	-0.247051	44.8027
0.1775	-0.0264559	44.7772
0.2471	-0.208952	44.8383
0.2958	-0.12525	44.9197
0.3156	-0.0537402	44.9668
0.3244	-0.0812546	45.0231
0.3211	-0.0612383	45.1091
0.2989	-0.00733154	45.194
