Kp:	0.1	Ki:	0	Kd:	0.4
cte	steer_value
0.76	-0.38	0
0.76	-0.076	0
0.7598	-0.0759	0.0786
0.7597	-0.07593	0.1071
0.7595	-0.07587	0.2534
0.7593	-0.07585	0.2512
0.7591	-0.07583	0.3642
0.7588	-0.07576	0.4428
0.7585	-0.07573	0.486
0.7581	-0.07565	0.5868
0.7576	-0.07556	0.6315
0.7573	-0.07561	0.7131
0.7568	-0.07548	0.7036
0.7562	-0.07538	0.7786
0.7556	-0.07532	0.8843
0.7549	-0.07521	0.9658
0.7542	-0.07514	1.0082
0.7534	-0.07502	1.0589
0.7529	-0.07509	1.1223
0.752	-0.07484	1.1733
0.751	-0.0747	1.2622
0.75	-0.0746	1.3155
0.7489	-0.07445	1.3787
0.7478	-0.07434	1.4545
0.7466	-0.07418	1.4994
0.7458	-0.07426	1.5648
0.7445	-0.07393	1.6346
0.7432	-0.0738	1.6985
0.7418	-0.07362	1.7268
0.7403	-0.07343	1.7968
0.7387	-0.07323	1.8737
0.7377	-0.07337	1.8976
0.7361	-0.07297	1.937
0.7344	-0.07276	1.9988
0.7326	-0.07254	2.0505
0.7307	-0.07231	2.1129
0.7294	-0.07242	2.1529
0.7274	-0.07194	2.2121
0.7253	-0.07169	2.2689
0.7238	-0.07178	2.3079
0.7216	-0.07128	2.3662
0.7193	-0.07101	2.4292
0.7169	-0.07073	2.4853
0.7152	-0.07084	2.5249
0.7127	-0.07027	2.5859
0.7091	-0.06947	2.6742
0.7063	-0.06951	2.7271
0.7044	-0.06968	2.7668
0.7015	-0.06899	2.8348
0.6984	-0.0686	2.8757
0.6952	-0.06824	2.9446
0.6931	-0.06847	2.9809
0.6898	-0.06766	3.0275
0.6875	-0.06783	3.0651
0.684	-0.067	3.1234
0.6803	-0.06655	3.1861
0.6779	-0.06683	3.2247
0.674	-0.06584	3.2658
0.6714	-0.0661	3.3175
0.6674	-0.06514	3.3853
0.6646	-0.06534	3.4223
0.6604	-0.06436	3.4426
0.6561	-0.06389	3.5277
0.6517	-0.06341	3.5473
0.6471	-0.06287	3.629
0.644	-0.06316	3.6623
0.6392	-0.062	3.6849
0.6343	-0.06147	3.7613
0.6313	-0.06193	3.7942
0.6274	-0.06118	3.8207
0.6252	-0.06164	3.8544
0.6228	-0.06132	3.9241
0.6218	-0.06178	3.9553
0.6229	-0.06273	4.0184
0.6224	-0.06204	4.0581
0.6168	-0.05944	4.0916
0.6141	-0.06033	4.1238
0.6107	-0.05971	4.1714
0.609	-0.06022	4.2028
0.6069	-0.05985	4.2498
0.6058	-0.06014	4.281
0.6045	-0.05993	4.3275
0.6036	-0.06	4.3737
0.6029	-0.06001	4.4196
0.6026	-0.06014	4.45
0.6023	-0.06011	4.4955
0.6021	-0.06013	4.5256
0.6019	-0.06011	4.5556
0.6016	-0.06004	4.6004
0.6013	-0.06001	4.6301
0.6009	-0.05993	4.6597
0.6003	-0.05979	4.7039
0.5998	-0.05978	4.7332
0.5993	-0.05973	4.7623
0.5985	-0.05953	4.8059
0.5975	-0.05935	4.8491
0.5964	-0.0592	4.8921
0.5956	-0.05924	4.9206
0.5943	-0.05891	4.9631
0.5934	-0.05898	4.9914
0.5919	-0.05859	5.0335
0.5903	-0.05839	5.0753
0.5892	-0.05848	5.1031
0.5873	-0.05797	5.1445
0.5861	-0.05813	5.172
0.584	-0.05756	5.213
0.5826	-0.0577	5.2401
0.5804	-0.05716	5.2807
0.578	-0.05684	5.321
0.5763	-0.05695	5.3478
0.5737	-0.05633	5.3877
0.5719	-0.05647	5.4141
0.5691	-0.05579	5.4536
0.5671	-0.05591	5.4798
0.5651	-0.05571	5.5059
0.5619	-0.05491	5.5448
0.5598	-0.05514	5.5706
0.5564	-0.05428	5.6092
0.554	-0.05444	5.6347
0.5516	-0.0542	5.6602
0.5479	-0.05331	5.6981
0.5453	-0.05349	5.7233
0.5427	-0.05323	5.7484
0.5387	-0.05227	5.7858
0.5359	-0.05247	5.8106
0.5316	-0.05144	5.8477
0.5287	-0.05171	5.8723
0.5242	-0.05062	5.9089
0.5195	-0.05007	5.9453
0.5163	-0.05035	5.9695
0.5114	-0.04918	6.0056
0.5063	-0.04859	6.0414
0.5029	-0.04893	6.0652
0.4976	-0.04764	6.1006
0.4922	-0.04706	6.1359
0.4885	-0.04737	6.1592
0.4829	-0.04605	6.1941
0.4771	-0.04539	6.2288
0.4732	-0.04576	6.2518
0.4672	-0.04432	6.2861
0.4631	-0.04467	6.3088
0.4569	-0.04321	6.3428
0.4505	-0.04249	6.3765
0.4462	-0.0429	6.3989
0.4397	-0.04137	6.4323
0.433	-0.04062	6.4655
0.4262	-0.0399	6.4985
0.4192	-0.03912	6.5313
0.4146	-0.03962	6.553
0.4075	-0.03791	6.5855
0.4027	-0.03835	6.607
0.3954	-0.03662	6.6391
0.3904	-0.03704	6.6604
0.383	-0.03534	6.6922
0.3754	-0.0345	6.7237
0.3677	-0.03369	6.7551
0.3626	-0.03422	6.7759
0.3547	-0.03231	6.807
0.3495	-0.03287	6.8276
0.3415	-0.03095	6.8583
0.3335	-0.03015	6.8889
0.3253	-0.02925	6.9192
0.3199	-0.02983	6.9394
0.3144	-0.02924	6.9594
0.3061	-0.02729	6.9894
0.3005	-0.02781	7.0092
0.2921	-0.02585	7.0388
0.2836	-0.02496	7.0682
0.278	-0.02556	7.0878
0.2694	-0.0235	7.1169
0.2608	-0.02264	7.1458
0.2551	-0.02323	7.165
0.2464	-0.02116	7.1937
0.2378	-0.02034	7.2222
0.2291	-0.01943	7.2504
0.2232	-0.01996	7.2692
0.2145	-0.01797	7.2972
0.2087	-0.01855	7.3158
0.2	-0.01652	7.3435
0.1912	-0.0156	7.371
0.1854	-0.01622	7.3893
0.1767	-0.01419	7.4166
0.168	-0.01332	7.4436
0.1621	-0.01385	7.4616
0.1535	-0.01191	7.4884
0.1448	-0.011	7.5151
0.1391	-0.01163	7.5327
0.1305	-0.00961	7.5591
0.1219	-0.00875	7.5853
0.1162	-0.00934	7.6027
0.1078	-0.00742	7.6286
0.1022	-0.00798	7.6458
0.0938	-0.00602	7.6715
0.0855	-0.00523	7.697
0.0773	-0.00445	7.7223
0.0719	-0.00503	7.7391
0.0639	-0.00319	7.7642
0.0585	-0.00369	7.7808
0.0506	-0.0019	7.8057
0.0454	-0.00246	7.8221
0.0377	-0.00069	7.8467
0.0301	3e-05	7.8711
0.025	-0.00046	7.8873
0.0176	0.0012	7.9115
0.0103	0.00189	7.9355
0.0032	0.00252	7.9594
-0.0015	0.00203	7.9752
