Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
0.76	-3.4485	0
0.76	1.65187	0
0.7609	-0.00688246	0.2209
0.7601	-0.135644	0.2902
0.76	-0.156498	0.0666
0.7597	-0.157993	0.4955
0.7592	-0.160316	0.7918
0.7578	-0.159494	1.2688
0.7565	-0.164696	1.586
0.7549	-0.165866	1.8676
0.7531	-0.16819	2.1341
0.7497	-0.163943	2.612
0.747	-0.173115	2.9148
0.7439	-0.172244	3.2383
0.7404	-0.173465	3.551
0.7364	-0.174322	3.8515
0.7297	-0.165338	4.2992
0.7246	-0.180555	4.5968
0.719	-0.176777	4.9014
0.7129	-0.177054	5.1918
0.7061	-0.176649	5.4834
0.6948	-0.159343	5.9188
0.6864	-0.183754	6.208
0.6776	-0.176933	6.5114
0.6678	-0.173716	6.7935
0.6573	-0.173583	7.0781
0.64	-0.145047	7.5084
0.6273	-0.181277	7.7941
0.6141	-0.169383	8.1031
0.5998	-0.164579	8.383
0.5844	-0.16175	8.6676
0.5594	-0.120269	9.1011
0.5415	-0.172782	9.3915
0.5229	-0.1533	9.7155
0.5029	-0.145796	9.9999
0.4816	-0.141324	10.2921
0.4503	-0.0970495	10.7425
0.4334	-0.182068	11.0456
0.4254	-0.188727	11.4505
0.3959	-0.067531	11.8338
0.3721	-0.13822	11.8701
0.3418	-0.0961098	12.3074
0.3226	-0.156598	12.3837
0.3035	-0.12952	13.1148
0.283	-0.118371	13.267
0.2606	-0.110032	13.4137
0.2245	-0.0493327	14.0794
0.1987	-0.122862	14.5342
0.1726	-0.0956364	14.8754
0.1448	-0.0825269	15.16
0.1004	-0.00638806	15.6353
0.0692	-0.0978287	15.9876
0.0379	-0.0636877	16.4239
0.0052	-0.049452	16.7754
-0.0463	0.0389181	17.1439
-0.0822	-0.0666537	17.4775
-0.1173	-0.0298727	17.8538
-0.1537	-0.0122219	18.1943
-0.1912	-0.00241748	18.5864
-0.2486	0.0929147	19.3422
-0.2874	-0.0269652	19.7375
-0.3247	0.0148535	20.0563
-0.3622	0.0309331	20.4227
-0.4001	0.0413399	20.799
-0.4563	0.132158	21.2547
-0.4931	0.0131416	21.6179
-0.5272	0.0521236	21.8904
-0.5605	0.0668389	22.2704
-0.5929	0.0739063	22.6202
-0.6388	0.145912	23.1579
-0.6672	0.045875	23.471
-0.692	0.0762819	23.7174
-0.7257	0.135697	24.1921
-0.7457	0.0625638	24.5119
-0.7621	0.0836241	24.7729
-0.7758	0.0884068	25.088
-0.7867	0.0885218	25.391
-0.7974	0.0998705	25.8363
-0.8004	0.0710278	26.1276
-0.7998	0.0765858	26.4088
-0.7959	0.074525	26.7099
-0.7839	0.0486499	27.1589
-0.7715	0.0673765	27.4589
-0.7561	0.0568743	27.7767
-0.7267	0.000565918	28.2378
-0.7028	0.0563956	28.5478
-0.6767	0.0342424	28.8965
-0.6476	0.0225625	29.2207
-0.5984	-0.0642951	29.7108
-0.5605	0.028054	30.0475
-0.5156	-0.0316271	30.3552
-0.4619	-0.063475	30.6766
-0.3657	-0.242775	31.1663
-0.2971	-0.0320562	31.4697
-0.2332	-0.0796291	31.6162
-0.14	-0.239681	32.0274
-0.0789	-0.04318	32.3205
-0.0236	-0.0986265	32.4717
0.0545	-0.232042	32.8641
0.1036	-0.0631556	33.1383
0.1461	-0.107318	33.2913
0.2025	-0.199946	33.6585
0.2355	-0.0740775	33.9171
0.2618	-0.103693	34.0924
0.2832	-0.107654	34.3213
0.3066	-0.135129	34.6936
0.3158	-0.0726573	34.9317
0.3192	-0.0826004	35.1497
0.3177	-0.07868	35.3957
0.3065	-0.0485259	35.7862
0.2932	-0.0620436	36.0454
0.2758	-0.0489502	36.3221
0.2422	0.0165601	36.7389
0.2149	-0.0457346	37.019
0.1857	-0.0210183	37.3188
0.1537	-0.00698481	37.6167
0.1012	0.0846342	38.0686
0.0639	-0.0238204	38.3826
0.0274	0.0113766	38.6539
-0.0094	0.024107	38.9289
-0.065	0.116119	39.3903
-0.0966	-0.026486	39.6939
-0.1107	-0.0463381	39.9348
-0.1105	-0.0623219	40.333
-0.1075	-0.0370317	40.6139
-0.1054	-0.0233987	40.8759
-0.1031	-0.0256445	41.2826
-0.102	-0.0198869	41.5672
-0.1012	-0.0211642	41.8559
-0.1006	-0.0209707	42.1453
-0.1003	-0.0198973	42.4356
-0.1001	-0.0198801	42.8681
-0.1003	-0.0180266	43.1555
-0.1008	-0.0172227	43.4423
-0.1014	-0.0170858	43.7287
-0.1027	-0.0137165	44.1582
-0.1037	-0.0161272	44.4435
-0.1047	-0.0149755	44.7292
-0.1058	-0.0138915	45.0142
-0.1074	-0.0112494	45.4388
-0.1084	-0.0144672	45.7213
-0.1092	-0.0134557	46.0044
-0.1099	-0.0127655	46.2862
-0.1104	-0.0128429	46.7052
-0.0996	-0.0631104	46.9838
-0.0703	-0.121941	47.2615
-0.0294	-0.133892	47.5146
0.027	-0.180663	47.7919
0.0584	-0.0388072	47.9492
0.0826	-0.068311	48.0726
0.1014	-0.0703715	48.2463
0.1153	-0.0666625	48.479
0.1261	-0.0684746	48.8036
0.1264	-0.0317521	49.0198
0.121	-0.0319701	49.236
0.1039	0.00610005	49.5908
0.0869	-0.0204685	49.8394
0.0667	-0.00517751	50.097
0.0304	0.063722	50.4901
0.0027	-0.00725615	50.7522
-0.0253	0.0165545	50.9932
-0.0687	0.0925617	51.361
-0.0981	0.00115672	51.6214
-0.1252	0.0268509	51.8392
-0.1594	0.0726217	52.1907
-0.1613	-0.0829868	52.4467
-0.1405	-0.109868	52.6671
-0.1011	-0.137784	52.9462
-0.0769	-0.0269822	53.1139
-0.0567	-0.0451267	53.2522
-0.031	-0.0858145	53.5446
-0.0166	-0.027291	53.7733
-0.002	-0.0566486	54.0628
0.0034	-0.0193194	54.2643
0.0053	-0.0263983	54.4843
0.0024	-0.0150865	54.8229
-0.003	-0.0153926	55.0588
-0.0107	-0.0108366	55.2944
-0.0264	0.0209567	55.655
-0.0391	-0.00900149	55.8959
-0.0592	0.0326505	56.2496
-0.0731	-0.00849994	56.4855
-0.0863	0.00452563	56.717
-0.1052	0.0359755	57.0647
-0.1151	-0.0141374	57.3058
-0.0988	-0.110481	57.5356
0.0028	-0.436569	57.8718
0.0751	-0.115787	58.0601
0.136	-0.130486	57.9696
0.2082	-0.225164	57.9689
0.2442	-0.0512564	58.0895
0.2665	-0.0805966	58.1514
0.2785	-0.07842	58.3387
0.2729	-0.0295059	58.5193
0.2564	-0.0239436	58.6852
0.2132	0.0699742	58.9745
0.1733	-0.00320287	59.1879
0.128	0.0306783	59.3815
0.0505	0.17235	59.693
-0.0061	0.0148166	59.9153
-0.0586	0.0501639	60.0501
-0.0984	0.0160096	60.2865
-0.1138	-0.0555947	60.491
-0.1327	0.0239794	60.7977
-0.144	-0.00974219	60.9977
-0.1536	0.00295863	61.1884
-0.1613	0.00222238	61.4
-0.169	0.009243	61.7352
-0.1713	-0.0127524	61.9613
-0.1709	-0.0111036	62.1844
-0.1658	-0.0244198	62.5088
-0.1596	-0.0180212	62.7229
-0.1516	-0.0232032	62.9321
-0.1341	-0.0627103	63.2379
-0.082	-0.199671	63.4414
0.0211	-0.3569	63.6262
0.1636	-0.427764	63.7271
0.2421	-0.0613604	63.631
0.2983	-0.119061	63.3948
0.3363	-0.112846	63.3293
0.3621	-0.114381	63.5072
0.3577	-0.0164818	63.6154
0.3356	-0.0108758	63.7254
0.274	0.123307	63.9683
0.2163	0.0188516	64.1718
0.1507	0.0661145	64.326
0.0394	0.266808	64.56
-0.0411	0.0383754	64.7376
-0.1179	0.101	64.7752
-0.2267	0.275282	64.8989
-0.2939	0.0334822	65.048
-0.3698	0.17924	65.0244
-0.4011	-0.0203019	65.0572
-0.378	-0.155139	65.1636
-0.1985	-0.730399	65.354
-0.0644	-0.176251	65.478
0.0665	-0.263216	64.9149
0.2515	-0.547714	63.348
0.3622	-0.119807	62.3548
0.4551	-0.226996	61.5111
0.5659	-0.383356	60.1741
0.6205	-0.113772	60.206
0.652	-0.151653	60.0995
0.6632	-0.133353	60.1223
0.6836	-0.23315	60.229
0.7158	-0.275745	60.3763
0.709	-0.0782341	60.4256
0.6755	-0.0483799	60.3913
0.5817	0.158479	60.5082
0.4932	0.00154684	60.6761
0.3918	0.0754474	60.7955
0.2172	0.394927	61.0421
0.0884	0.0437342	61.2391
-0.038	0.151066	61.1883
-0.2354	0.510854	61.2497
-0.2044	-0.654032	61.3856
-0.175	-0.124814	61.0592
-0.1236	-0.190109	59.6219
-0.0915	-0.0565331	58.7065
-0.0636	-0.0844054	57.4282
-0.0277	-0.139106	57.5083
-0.008	-0.0544855	57.6819
0.0056	-0.0674235	57.8161
0.0158	-0.07208	58.0543
0.0159	-0.0377386	58.2397
0.01	-0.0352855	58.4155
-0.0092	0.00991621	58.7032
-0.0284	-0.0192153	58.9085
-0.0514	-0.000902302	59.1235
-0.0927	0.0774901	59.4594
-0.1241	-0.00330196	59.6858
-0.1557	0.0238762	59.8883
-0.2039	0.106957	60.1939
-0.236	0.00464056	60.4168
-0.2924	0.156806	60.5911
-0.1783	-0.659668	60.7614
-0.0192	-0.485704	60.9519
0.0868	-0.135685	60.416
0.1817	-0.220135	59.4324
0.3049	-0.402973	57.8049
0.3729	-0.113039	57.7729
0.4221	-0.167531	57.6507
0.4656	-0.207435	57.6777
